Date,LocationISOCode,Location,NewCases,NewDeaths,NewRecovered,NewActiveCases,TotalCases,TotalDeaths,TotalRecovered,TotalActiveCases,LocationLevel,CityorRegency,Province,Country,Continent,Island,TimeZone,SpecialStatus,TotalRegencies,TotalCities,TotalDistricts,TotalUrbanVillages,TotalRuralVillages,Area(km2),Population,PopulationDensity,Longitude,Latitude,NewCasesperMillion,TotalCasesperMillion,NewDeathsperMillion,TotalDeathsperMillion,CaseFatalityRate,CaseRecoveredRate,GrowthFactorofNewCases,GrowthFactorofNewDeaths
6,ID-SR,Sulawesi Barat,20,0,0,20,265,5,151,109,Province,,Sulawesi Barat,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73,575,16787,1559984,92.93,119.3450194,-2.461746053,12.82,169.87,0.00,3.21,1.89%,56.98%,6.67,1.00
6,ID-SN,Sulawesi Selatan,182,1,75,106,10169,328,7009,2832,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,19.31,1078.72,0.11,34.79,3.23%,68.93%,1.43,1.00
6,ID-ST,Sulawesi Tengah,0,0,2,-2,215,7,194,14,Province,,Sulawesi Tengah,Indonesia,Asia,Sulawesi,UTC+08:00,,12,1,175,175,1842,61841,2955567,47.79,121.2010927,-1.00413668,0.00,72.74,0.00,2.37,3.26%,90.23%,0.00,1.00
6,ID-SG,Sulawesi Tenggara,59,0,56,3,951,16,664,271,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,22.39,360.85,0.00,6.07,1.68%,69.82%,1.69,0.00
6,ID-SA,Sulawesi Utara,28,1,31,-4,2822,135,1457,1230,Province,,Sulawesi Utara,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4,171,332,1507,13892,2641884,190.17,124.5212396,1.259638212,10.60,1068.18,0.38,51.10,4.78%,51.63%,1.47,
6,ID-SB,Sumatera Barat,32,0,11,21,1038,34,787,217,Province,,Sumatera Barat,Indonesia,Asia,Sumatera,UTC+07:00,,12,7,179,230,928,42013,5519245,131.37,100.4650624,-0.850253225,5.80,188.07,0.00,6.16,3.28%,75.82%,1.68,1.00
6,ID-SS,Sumatera Selatan,50,4,94,-48,3602,179,2009,1414,Province,,Sumatera Selatan,Indonesia,Asia,Sumatera,UTC+07:00,,13,4,241,387,2853,91592,8217551,89.72,104.1694647,-3.216211808,6.08,438.33,0.49,21.78,4.97%,55.77%,0.81,0.67
6,ID-SU,Sumatera Utara,86,1,69,16,4477,212,1860,2405,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,5.78,300.98,0.07,14.25,4.74%,41.55%,0.66,0.50
7,ID-AC,Aceh,53,0,0,53,536,20,91,425,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5,289,,6497,57956,5247257,90.54,96.91052174,4.225614628,10.10,102.15,0.00,3.81,3.73%,16.98%,1.29,1.00
7,ID-BA,Bali,38,1,40,-3,3682,49,3208,425,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,9.01,873.30,0.24,11.62,1.33%,87.13%,1.41,
